AgentFullName,Agent,IPaddress,Process id,ConnectionTime,UserName,SoftwareVersion,OperatingSystem,CPUtype,CPUcount,CPUinfo,CPUlayout,CPUscore,MemorySize,LAAAAspace,GPUs,LinkSpeed,StatusTime
VCAgent_p3428@varfaspr1,varfaspr1,10.40.69.15,3428,09/06/2023 03:01:06,VARFASPR1$,15.5.13.1 (64-bit),Windows Server 2012 R2,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096, Tesla T4,953,09/06/2023 07:53:39
VCAgent_p3112@varfaspr10,varfaspr10,10.40.15.161,3112,09/06/2023 03:01:04,VARFASPR10$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p3248@varfaspr11,varfaspr11,10.40.15.162,3248,09/06/2023 03:01:04,VARFASPR11$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p3016@varfaspr2,varfaspr2,10.40.68.107,3016,09/06/2023 03:00:09,VARFASPR2$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p3084@varfaspr3,varfaspr3,10.40.68.82,3084,09/06/2023 03:01:04,VARFASPR3$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p3068@varfaspr5,varfaspr5,10.40.69.193,3068,09/06/2023 03:01:03,VARFASPR5$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p3112@varfaspr6,varfaspr6,10.40.69.240,3112,09/06/2023 03:01:04,VARFASPR6$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p3108@varfaspr7,varfaspr7,10.40.69.241,3108,09/06/2023 03:01:04,VARFASPR7$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,64992,4096,,953,09/06/2023 07:53:39
VCAgent_p3248@varfaspr8,varfaspr8,10.40.69.71,3248,09/06/2023 03:01:03,VARFASPR8$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p3164@varfaspr9,varfaspr9,10.40.69.89,3164,09/06/2023 03:01:04,VARFASPR9$,15.5.13.1 (64-bit),Windows Server 2016,X64,28,Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz,2 x 14-Core,100,65154,4096,,953,09/06/2023 07:53:39
VCAgent_p15252@zvar-imx-1,zvar-imx-1,10.40.62.143,15252,09/06/2023 03:00:09,ZVAR-IMX-1$,15.5.13.1 (64-bit),Windows 10,X64,16,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,2 x 8-Core,100,32414,4096,,953,09/06/2023 07:53:39
VCAgent_p8948@zvar-imx-2,zvar-imx-2,10.40.62.42,8948,09/06/2023 03:00:09,ZVAR-IMX-2$,15.5.13.1 (64-bit),Windows 10,X64,16,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,2 x 8-Core,100,32416,4096,,953,09/06/2023 07:53:39
VCAgent_p5720@zvar-imx-4,zvar-imx-4,10.40.62.194,5720,09/06/2023 03:00:09,ZVAR-IMX-4$,15.5.13.1 (64-bit),Windows 10,X64,16,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,2 x 8-Core,100,32416,4096,,953,09/06/2023 07:53:39
VCAgent_p2840@zvar-imx-5,zvar-imx-5,10.40.62.170,2840,09/06/2023 03:00:09,ZVAR-IMX-5$,15.5.13.1 (64-bit),Windows 10,X64,16,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,2 x 8-Core,100,32416,4096,,953,09/06/2023 07:53:39
VCAgent_p5892@zvar-imx-6,zvar-imx-6,10.40.62.41,5892,09/06/2023 03:00:09,ZVAR-IMX-6$,15.5.13.1 (64-bit),Windows 10,X64,16,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,2 x 8-Core,100,32416,4096,,953,09/06/2023 07:53:39
VCAgent_p3764@zvar-imx-7,zvar-imx-7,10.40.62.195,3764,09/06/2023 03:00:09,ZVAR-IMX-7$,15.5.13.1 (64-bit),Windows 10,X64,16,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,2 x 8-Core,100,32416,4096,,953,09/06/2023 07:53:39
VCAgent_p5660@zvar-imx-8,zvar-imx-8,10.40.62.34,5660,09/06/2023 03:00:09,ZVAR-IMX-8$,15.5.13.1 (64-bit),Windows 10,X64,16,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,2 x 8-Core,100,32416,4096,,953,09/06/2023 07:53:39
